Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
00000b6d      5  16d      2   1 miss miss    0      5   2 miss      1   6 miss
00000acc      5   cc      2   1 hit          0      3   0 miss      0   c miss
00000610      3   10      1   1 miss miss    1      8   1 miss      2   1 miss
00000ea7      7   a7      3   1 miss miss    2     12   2 miss      4   a miss
000001bd      0  1bd      0   0 miss miss    3     1e   3 miss      7   b miss
000007b7      3  1b7      1   1 miss hit     1      e   3 miss      3   b miss
00000f4a      7  14a      3   1 miss hit     2     15   0 miss      5   4 miss
00000f20      7  120      3   1 hit          2     14   2 miss      5   2 miss
000006cc      3   cc      1   1 miss hit     1      b   0 miss      2   c miss
000008d7      4   d7      2   0 miss miss    4     23   1 miss      8   d miss
00000159      0  159      0   0 miss hit     3     1d   1 miss      7   5 miss
00000835      4   35      2   0 miss hit     4     20   3 miss      8   3 miss
000000d3      0   d3      0   0 miss hit     3     1b   1 miss      6   d miss
00000b56      5  156      2   1 miss hit     0      5   1 miss      1   5 miss
00000e20      7   20      3   1 miss hit     2     10   2 miss      4   2 miss
00000da9      6  1a9      3   0 miss miss    5     2e   2 miss      b   a miss
000002c4      1   c4      0   1 miss miss    6     33   0 miss      c   c miss
000007a3      3  1a3      1   1 miss hit     1      e   2 miss      3   a miss
00000083      0   83      0   0 miss hit     3     1a   0 miss      6   8 miss
00000af2      5   f2      2   1 miss hit     0      3   3 miss      0   f miss
00000683      3   83      1   1 miss hit     1      a   0 miss      2   8 miss
00000107      0  107      0   0 hit          3     1c   0 miss      7   0 miss
000005fa      2  1fa      1   0 miss miss    7     3f   3 miss      f   f miss
00000689      3   89      1   1 hit          1      a   0 miss      2   8 hit 
00000770      3  170      1   1 hit          1      d   3 miss      3   7 miss
000004a2      2   a2      1   0 hit          7     3a   2 miss      e   a miss
00000122      0  122      0   0 miss hit     3     1c   2 miss      7   2 miss
0000093f      4  13f      2   0 miss hit     4     24   3 miss      9   3 miss
00000a69      5   69      2   1 miss hit     0      1   2 miss      0   6 miss
00000e61      7   61      3   1 miss hit     2     11   2 miss      4   6 miss
00000a38      5   38      2   1 miss hit     0      0   3 miss      0   3 miss
00000189      0  189      0   0 miss hit     3     1e   0 miss      7   8 miss
00000463      2   63      1   0 miss hit     7     39   2 miss      e   6 miss
000007c0      3  1c0      1   1 miss hit     1      f   0 miss      3   c miss
00000017      0   17      0   0 miss hit     3     18   1 miss      6   1 miss
000008ec      4   ec      2   0 miss hit     4     23   2 miss      8   e miss
00000623      3   23      1   1 hit          1      8   2 miss      2   2 miss
000009d2      4  1d2      2   0 hit          4     27   1 miss      9   d miss
00000140      0  140      0   0 miss hit     3     1d   0 miss      7   4 miss
000005a1      2  1a1      1   0 miss hit     7     3e   2 miss      f   a miss
000005d4      2  1d4      1   0 hit          7     3f   1 miss      f   d miss
00000abe      5   be      2   1 miss hit     0      2   3 miss      0   b miss
000005cc      2  1cc      1   0 hit          7     3f   0 miss      f   c miss
00000c64      6   64      3   0 miss hit     5     29   2 miss      a   6 miss
00000398      1  198      0   1 miss hit     6     36   1 miss      d   9 miss
000000de      0   de      0   0 miss hit     3     1b   1 miss      6   d hit 
00000528      2  128      1   0 miss hit     7     3c   2 miss      f   2 miss
0000004a      0   4a      0   0 miss hit     3     19   0 miss      6   4 miss
00000b2b      5  12b      2   1 miss hit     0      4   2 miss      1   2 miss
00000559      2  159      1   0 miss hit     7     3d   1 miss      f   5 miss
00000718      3  118      1   1 miss hit     1      c   1 miss      3   1 miss
0000096b      4  16b      2   0 miss hit     4     25   2 miss      9   6 miss
0000087d      4   7d      2   0 hit          4     21   3 miss      8   7 miss
0000095d      4  15d      2   0 hit          4     25   1 miss      9   5 miss
00000a5d      5   5d      2   1 miss hit     0      1   1 miss      0   5 miss
00000b4d      5  14d      2   1 hit          0      5   0 miss      1   4 miss
000001e7      0  1e7      0   0 miss hit     3     1f   2 miss      7   e miss
000001ec      0  1ec      0   0 hit          3     1f   2 hit                 
00000e0c      7    c      3   1 miss hit     2     10   0 miss      4   0 miss
00000192      0  192      0   0 hit          3     1e   1 miss      7   9 miss
0000041b      2   1b      1   0 miss hit     7     38   1 miss      e   1 miss
00000e92      7   92      3   1 hit          2     12   1 miss      4   9 miss
00000ab5      5   b5      2   1 miss hit     0      2   3 miss      0   b hit 
000001de      0  1de      0   0 miss hit     3     1f   1 miss      7   d miss
00000bbf      5  1bf      2   1 hit          0      6   3 miss      1   b miss
00000e7c      7   7c      3   1 miss hit     2     11   3 miss      4   7 miss
000009b0      4  1b0      2   0 miss hit     4     26   3 miss      9   b miss
00000ae6      5   e6      2   1 miss hit     0      3   2 miss      0   e miss
00000bee      5  1ee      2   1 hit          0      7   2 miss      1   e miss
0000004b      0   4b      0   0 miss hit     3     19   0 miss      6   4 hit 
00000522      2  122      1   0 miss hit     7     3c   2 miss      f   2 hit 
00000b95      5  195      2   1 hit          0      6   1 miss      1   9 miss
00000068      0   68      0   0 miss hit     3     19   2 miss      6   6 miss
00000ba3      5  1a3      2   1 hit          0      6   2 miss      1   a miss
00000d21      6  121      3   0 miss hit     5     2c   2 miss      b   2 miss
00000f01      7  101      3   1 miss hit     2     14   0 miss      5   0 miss
00000c72      6   72      3   0 hit          5     29   3 miss      a   7 miss
0000032d      1  12d      0   1 miss hit     6     34   2 miss      d   2 miss
00000277      1   77      0   1 hit          6     31   3 miss      c   7 miss
0000017d      0  17d      0   0 miss hit     3     1d   3 miss      7   7 miss
00000baa      5  1aa      2   1 miss hit     0      6   2 miss      1   a hit 
000006a4      3   a4      1   1 miss hit     1      a   2 miss      2   a miss
0000057b      2  17b      1   0 miss hit     7     3d   3 miss      f   7 miss
000005fd      2  1fd      1   0 hit          7     3f   3 miss      f   f hit 
000006bd      3   bd      1   1 hit          1      a   3 miss      2   b miss
00000b5e      5  15e      2   1 miss hit     0      5   1 miss      1   5 hit 
00000d50      6  150      3   0 miss hit     5     2d   1 miss      b   5 miss
00000f62      7  162      3   1 miss hit     2     15   2 miss      5   6 miss
00000301      1  101      0   1 miss hit     6     34   0 miss      d   0 miss
00000e61      7   61      3   1 miss hit     2     11   2 miss      4   6 miss
00000ee3      7   e3      3   1 hit          2     13   2 miss      4   e miss
000005d5      2  1d5      1   0 miss hit     7     3f   1 miss      f   d hit 
00000a6f      5   6f      2   1 miss hit     0      1   2 miss      0   6 miss
000002fd      1   fd      0   1 miss hit     6     33   3 miss      c   f miss
00000e8d      7   8d      3   1 miss hit     2     12   0 miss      4   8 miss
00000053      0   53      0   0 miss hit     3     19   1 miss      6   5 miss
000008d7      4   d7      2   0 miss hit     4     23   1 miss      8   d miss
00000f8e      7  18e      3   1 hit          2     16   0 miss      5   8 miss
00000922      4  122      2   0 hit          4     24   2 miss      9   2 miss
00000496      2   96      1   0 miss hit     7     3a   1 miss      e   9 miss
00000999      4  199      2   0 miss hit     4     26   1 miss      9   9 miss
00000ee3      7   e3      3   1 hit          2     13   2 miss      4   e hit 
000004fc      2   fc      1   0 miss hit     7     3b   3 miss      e   f miss
0000047f      2   7f      1   0 hit          7     39   3 miss      e   7 miss
000007c7      3  1c7      1   1 miss hit     1      f   0 miss      3   c hit 
00000d67      6  167      3   0 miss hit     5     2d   2 miss      b   6 miss
